_date,_song,_artist,_peak-rank,_weeks-on-board,_genres,_track,_uri,year,id,keywords
2004-02-14,This Love,Maroon 5,5,43,"['adult contemporary', 'automod ng', 'dance', 'dance-pop', 'electropop', 'fixme label mess', 'funk rock', 'music for soccer moms', 'pop', 'pop rock', 'pop/rock', 'rock', 'rock and indie', 'slow pop']",This Love,spotify:track:6uh71fR49l9L6DlUfSp1Ww,2004,This_Love_by_Maroon_5,"adult contemporary, automod ng, dance, dance-pop, electropop, fixme label mess, funk rock, music for soccer moms, pop, pop rock, pop/rock, rock, rock and indie, slow pop"
2004-03-13,Roses,OutKast,9,21,"['alternative hip-hop', 'american', 'atlanta hip hop', 'conscious hip hop', 'contemporary r&b', 'dirty south', 'experimental', 'funk', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'neo-soul', 'pop', 'pop rap', 'southern hip hop', 'southern hip-hop']",Roses,spotify:track:6bUNEbXT7HovLW6BgPCBsb,2004,Roses_by_OutKast,"alternative hip-hop, american, atlanta hip hop, conscious hip hop, contemporary r&b, dirty south, experimental, funk, hip hop, hip hop rnb and dance hall, hip-hop, neo-soul, pop, pop rap, southern hip hop, southern hip-hop"
2004-03-13,All Falls Down,Kanye West Featuring Syleena Johnson,7,20,"['american', 'electropop', 'english', 'experimental hip hop', 'grammy winner', 'hardcore hip hop', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'luxury rap', 'pop', 'pop rap', 'producer', 'rap', 'rapper', 'relic inn', 'synthpop', 'us']",All Falls Down,spotify:track:5SkRLpaGtvYPhw02vZhQQ9,2004,All_Falls_Down_by_Kanye_West_Featuring_Syleena_Johnson,"american, electropop, english, experimental hip hop, grammy winner, hardcore hip hop, hip hop, hip hop rnb and dance hall, hip-hop, luxury rap, pop, pop rap, producer, rap, rapper, relic inn, synthpop, us"
2004-03-13,Burn,Usher,1,30,"['contemporary r&b', 'hip hop rnb and dance hall', 'pop rap', 'soul']",Burn,spotify:track:7z3N2W7Xz1t2G2sAO8wFVH,2004,Burn_by_Usher,"contemporary r&b, hip hop rnb and dance hall, pop rap, soul"
2004-03-20,The Reason,Hoobastank,2,38,"['alternative metal', 'alternative rock', 'hard rock', 'nu metal', 'pop rock', 'post-grunge']",The Reason,spotify:track:77loZpT5Y5PRP1S451P9Yz,2004,The_Reason_by_Hoobastank,"alternative metal, alternative rock, hard rock, nu metal, pop rock, post-grunge"
2004-03-20,My Band,D12,6,18,"['hardcore hip hop', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'hiphop', 'rap', 'us']",My Band,spotify:track:4XHQyvbrBsQaaBUW1VvmsL,2004,My_Band_by_D12,"hardcore hip hop, hip hop, hip hop rnb and dance hall, hip-hop, hiphop, rap, us"
2004-03-27,Overnight Celebrity,Twista,6,20,"['american', 'hip hop', 'hip hop rnb and dance hall', 'rap']",Overnight Celebrity,spotify:track:2tOZtdbkAMQASWokLvSlzj,2004,Overnight_Celebrity_by_Twista,"american, hip hop, hip hop rnb and dance hall, rap"
2004-03-27,Naughty Girl,Beyonce,3,22,"['alternative r&b', 'art pop', 'contemporary pop', 'contemporary r&b', 'country', 'dance-pop', 'electropop', 'funk', 'grammy winner', 'hard rock', 'hip hop rnb and dance hall', 'mbs-333', 'moombahton', 'pop', 'pop rap', 'r&b', 'rnb', 'soul']",Unknown,Unknown,2004,Naughty_Girl_by_Beyonce,"alternative r&b, art pop, contemporary pop, contemporary r&b, country, dance-pop, electropop, funk, grammy winner, hard rock, hip hop rnb and dance hall, mbs-333, moombahton, pop, pop rap, r&b, rnb, soul"
2004-04-03,Solitaire,Clay Aiken,4,8,"['american idol', 'rock']",Solitaire,spotify:track:4nl0AClM6HOOKwHJwLezEK,2004,Solitaire_by_Clay_Aiken,"american idol, rock"
2004-04-24,Dip It Low,Christina Milian,5,30,"['american', 'hip hop rnb and dance hall', 'pop', 'r&b', 'rnb']",Dip It Low,spotify:track:4L55p6txv9vuCWhpNnY6eY,2004,Dip_It_Low_by_Christina_Milian,"american, hip hop rnb and dance hall, pop, r&b, rnb"
2004-05-01,Confessions Part II,Usher,1,25,"['contemporary r&b', 'hip hop rnb and dance hall', 'pop rap', 'soul']",Confessions Part II,spotify:track:7wBThXx7BGZHJJ3aN3OPvv,2004,Confessions_Part_II_by_Usher,"contemporary r&b, hip hop rnb and dance hall, pop rap, soul"
2004-05-01,Move Ya Body,Nina Sky Featuring Jabba,4,26,"['dance and electronica', 'pop']",Move Ya Body,spotify:track:5fXWcDrcJe85rolTOxDrC1,2004,Move_Ya_Body_by_Nina_Sky_Featuring_Jabba,"dance and electronica, pop"
2004-05-01,Slow Motion,Juvenile Featuring Soulja Slim,1,28,Unknown,Slow Motion,spotify:track:6ihObRBTB8xdSH2mlERtOX,2004,Slow_Motion_by_Juvenile_Featuring_Soulja_Slim,Unknown
2004-05-08,Jesus Walks,Kanye West,11,25,"['american', 'electropop', 'english', 'experimental hip hop', 'grammy winner', 'hardcore hip hop', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'luxury rap', 'pop', 'pop rap', 'producer', 'rap', 'rapper', 'relic inn', 'synthpop', 'us']",Jesus Walks,spotify:track:5g1vtHqi9uV7xtYeCcFOBx,2004,Jesus_Walks_by_Kanye_West,"american, electropop, english, experimental hip hop, grammy winner, hardcore hip hop, hip hop, hip hop rnb and dance hall, hip-hop, luxury rap, pop, pop rap, producer, rap, rapper, relic inn, synthpop, us"
2004-05-15,On Fire,Lloyd Banks,8,20,"['gangsta rap', 'hip hop']",On Fire,spotify:track:0B2ZuTLZnWQ6gz8RlNwBu1,2004,On_Fire_by_Lloyd_Banks,"gangsta rap, hip hop"
2004-05-22,Turn Me On,Kevin Lyttle Featuring Spragga Benz,4,25,Unknown,Turn Me On,spotify:track:0RmXtDH1cBMGImRrmn5xL6,2004,Turn_Me_On_by_Kevin_Lyttle_Featuring_Spragga_Benz,Unknown
2004-05-22,Everytime,Britney Spears,15,18,"['american', 'américain', 'contemporary r&b', 'dance', 'dance-pop', 'electro house', 'electropop', 'if you seek amy', 'pop', 'pop and chart', 'teen pop', 'urban pop', 'usa']",Everytime,spotify:track:0dRhSF9LV0HR8Jwd3MMMKJ,2004,Everytime_by_Britney_Spears,"american, américain, contemporary r&b, dance, dance-pop, electro house, electropop, if you seek amy, pop, pop and chart, teen pop, urban pop, usa"
2004-06-26,Goodies,Ciara Featuring Petey Pablo,1,38,"['hip hop', 'hip hop rnb and dance hall']",Goodies,spotify:track:7uKcScNXuO3MWw6LowBjW1,2004,Goodies_by_Ciara_Featuring_Petey_Pablo,"hip hop, hip hop rnb and dance hall"
2004-06-26,Lean Back,Terror Squad,1,31,"['gangsta rap', 'hip hop', 'hip hop rnb and dance hall']",Lean Back,spotify:track:2Ozc0me9PV5vlt8cokwdvI,2004,Lean_Back_by_Terror_Squad,"gangsta rap, hip hop, hip hop rnb and dance hall"
2004-07-03,Pieces Of Me,Ashlee Simpson,5,21,"['2008 universal fire victim', 'pop', 'pop and chart', 'pop rock', 'teen pop', 'united states']",Pieces Of Me,spotify:track:7yXibbAYi4to5oQTeO738f,2004,Pieces_Of_Me_by_Ashlee_Simpson,"2008 universal fire victim, pop, pop and chart, pop rock, teen pop, united states"
2004-07-10,I Believe,Fantasia,1,10,"['american idol', 'hip hop rnb and dance hall', 'pop', 'r&b']",I Believe,spotify:track:2zZJnAlhgvW6DERn1tu3fb,2004,I_Believe_by_Fantasia,"american idol, hip hop rnb and dance hall, pop, r&b"
2004-07-17,Dreams,Diana DeGarmo,14,5,"['american idol', 'pop']",Dreams,spotify:track:6INtJV1n87U8sigSq9c3eF,2004,Dreams_by_Diana_DeGarmo,"american idol, pop"
2004-07-24,She Will Be Loved,Maroon 5,5,41,"['adult contemporary', 'automod ng', 'dance', 'dance-pop', 'electropop', 'fixme label mess', 'funk rock', 'music for soccer moms', 'pop', 'pop rock', 'pop/rock', 'rock', 'rock and indie', 'slow pop']",She Will Be Loved,spotify:track:2Cvnclm1mu2Ksn5uRnhCyI,2004,She_Will_Be_Loved_by_Maroon_5,"adult contemporary, automod ng, dance, dance-pop, electropop, fixme label mess, funk rock, music for soccer moms, pop, pop rock, pop/rock, rock, rock and indie, slow pop"
2004-07-24,My Place,Nelly Featuring Jaheim,4,20,['hip hop rnb and dance hall'],My Place,spotify:track:1NAyvpW70a9lxY0YlLWFV4,2004,My_Place_by_Nelly_Featuring_Jaheim,hip hop rnb and dance hall
2004-07-31,On The Way Down,Ryan Cabrera,15,27,Unknown,On The Way Down,spotify:track:1GwVi2ceNb8dMFA3DZGnnY,2004,On_The_Way_Down_by_Ryan_Cabrera,Unknown
2004-07-31,My Happy Ending,Avril Lavigne,9,25,"['743219675026', 'alternative rock', 'bubblegum punk', 'dance-pop', 'electropop', 'indie rock', 'mall punk', 'pop', 'pop and chart', 'pop punk', 'pop rock', 'pop/rock', 'post-grunge', 'punk', 'punk rock', 'rock', 'soft rock', 'teen pop', 'teen punk']",My Happy Ending,spotify:track:6sqNctd7MlJoKDOxPVCAvU,2004,My_Happy_Ending_by_Avril_Lavigne,"743219675026, alternative rock, bubblegum punk, dance-pop, electropop, indie rock, mall punk, pop, pop and chart, pop punk, pop rock, pop/rock, post-grunge, punk, punk rock, rock, soft rock, teen pop, teen punk"
2004-08-28,Breakaway,Kelly Clarkson,6,46,"['a filk artist', 'american idol', 'dance-pop', 'electropop', 'fixme label mess', 'music for soccer moms', 'pop', 'pop and chart', 'pop rock', 'rock', 'teen pop']",Breakaway,spotify:track:61Qhe2mHSLhUE04QeK4lkD,2004,Breakaway_by_Kelly_Clarkson,"a filk artist, american idol, dance-pop, electropop, fixme label mess, music for soccer moms, pop, pop and chart, pop rock, rock, teen pop"
2004-09-11,My Boo,Usher And Alicia Keys,1,26,"['alternative rock', 'american', 'contemporary r&b', 'film soundtrack', 'hip hop rnb and dance hall', 'jazz', 'neo soul', 'neo-soul', 'pianist', 'pop', 'pop rap', 'r&b', 'rnb', 'singer', 'soul']",My Boo,spotify:track:68vgtRHr7iZHpzGpon6Jlo,2004,My_Boo_by_Usher_And_Alicia_Keys,"alternative rock, american, contemporary r&b, film soundtrack, hip hop rnb and dance hall, jazz, neo soul, neo-soul, pianist, pop, pop rap, r&b, rnb, singer, soul"
2004-09-18,Breathe,Fabolous,10,20,"['east coast hip hop', 'hip hop', 'hip hop rnb and dance hall', 'pop rap']",Breathe,spotify:track:7fuoqve1SOEBmhc2PoQTF0,2004,Breathe_by_Fabolous,"east coast hip hop, hip hop, hip hop rnb and dance hall, pop rap"
2004-10-09,Just Lose It,Eminem,6,19,"['2008 universal fire victim', '8 mile', 'american', 'boom bap', 'comedy rap', 'detroit', 'detroit hip hop', 'detroit hip-hop', 'eminem', 'english', 'gangsta rap', 'hardcore hip hop', 'hip hop', 'hip-hop', 'hiphop', 'horrorcore', 'kun', 'midwest hip hop', 'midwest hip-hop', 'pop and chart', 'pop rap', 'rap', 'rapper', 'relic inn', 'turkish', 'us', 'v']",Just Lose It,spotify:track:0qcjuYtMWhBjXg0Xwt5SzS,2004,Just_Lose_It_by_Eminem,"2008 universal fire victim, 8 mile, american, boom bap, comedy rap, detroit, detroit hip hop, detroit hip-hop, eminem, english, gangsta rap, hardcore hip hop, hip hop, hip-hop, hiphop, horrorcore, kun, midwest hip hop, midwest hip-hop, pop and chart, pop rap, rap, rapper, relic inn, turkish, us, v"
2004-10-16,Over And Over,Nelly Featuring Tim McGraw,3,24,"['adult contemporary', 'contemporary country', 'country', 'country pop', 'neo-traditionalist country']",Over And Over,spotify:track:2b8QQqf8Vwb7bfz22ja8Fk,2004,Over_And_Over_by_Nelly_Featuring_Tim_McGraw,"adult contemporary, contemporary country, country, country pop, neo-traditionalist country"
2004-10-23,Let Me Love You,Mario,1,36,"['dance hall', 'hip hop', 'hip hop rnb and dance hall', 'r&b']",Let Me Love You,spotify:track:3ibKnFDaa3GhpPGlOUj7ff,2004,Let_Me_Love_You_by_Mario,"dance hall, hip hop, hip hop rnb and dance hall, r&b"
2004-11-20,Get Back,Ludacris,13,20,"['american', 'dirty south', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'pop rap', 'rap', 'southern hip hop', 'trap rap']",Get Back,spotify:track:3njpLvANriMsdv3dgADEad,2004,Get_Back_by_Ludacris,"american, dirty south, hip hop, hip hop rnb and dance hall, hip-hop, pop rap, rap, southern hip hop, trap rap"
2004-11-20,Only U,Ashanti,13,19,"['funk soul', 'hip hop', 'hip hop rnb and dance hall', 'r&b']",Only U,spotify:track:3sckKKIx96cjPXtiqPHCTB,2004,Only_U_by_Ashanti,"funk soul, hip hop, hip hop rnb and dance hall, r&b"
2004-11-27,Boulevard Of Broken Dreams,Green Day,2,36,"['2240665859492', 'alternative rock', 'american', 'américain', 'bay area', 'bay area punk', 'california', 'california punk', 'classic pop punk', 'classic punk', 'pop', 'pop and chart', 'pop punk', 'pop rock', 'pop-punk', 'pop/rock', 'post-punk', 'power pop', 'punk', 'punk pop', 'punk rock', 'rock', 'ska punk', 'united states', 'usa']",Boulevard Of Broken Dreams,spotify:track:5GorCbAP4aL0EJ16frG2hd,2004,Boulevard_Of_Broken_Dreams_by_Green_Day,"2240665859492, alternative rock, american, américain, bay area, bay area punk, california, california punk, classic pop punk, classic punk, pop, pop and chart, pop punk, pop rock, pop-punk, pop/rock, post-punk, power pop, punk, punk pop, punk rock, rock, ska punk, united states, usa"
2004-11-27,How We Do,The Game Featuring 50 Cent,4,28,"['2008 universal fire victim', 'criminal', 'east coast hip hop', 'english', 'gangsta rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'hip-hop/rap', 'pop rap', 'rap', 'relic inn']",How We Do,spotify:track:4PmMVdIFpJTB9WQbmILf4p,2004,How_We_Do_by_The_Game_Featuring_50_Cent,"2008 universal fire victim, criminal, east coast hip hop, english, gangsta rap, gangster rap, hardcore hip hop, hip hop, hip hop rnb and dance hall, hip-hop, hip-hop/rap, pop rap, rap, relic inn"
2004-12-11,Caught Up,Usher,8,27,"['contemporary r&b', 'hip hop rnb and dance hall', 'pop rap', 'soul']",Caught Up,spotify:track:5zdUc1JRCImBYcDWgvFNpE,2004,Caught_Up_by_Usher,"contemporary r&b, hip hop rnb and dance hall, pop rap, soul"
2004-12-11,Disco Inferno,50 Cent,3,29,"['2008 universal fire victim', 'criminal', 'east coast hip hop', 'english', 'gangsta rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'hip-hop/rap', 'pop rap', 'rap', 'relic inn']",Disco Inferno,spotify:track:69bHJ9qs5FrUJbKP8xU8uZ,2004,Disco_Inferno_by_50_Cent,"2008 universal fire victim, criminal, east coast hip hop, english, gangsta rap, gangster rap, hardcore hip hop, hip hop, hip hop rnb and dance hall, hip-hop, hip-hop/rap, pop rap, rap, relic inn"
2004-12-18,Since U Been Gone,Kelly Clarkson,2,46,"['a filk artist', 'american idol', 'dance-pop', 'electropop', 'fixme label mess', 'music for soccer moms', 'pop', 'pop and chart', 'pop rock', 'rock', 'teen pop']",Since U Been Gone,spotify:track:3xrn9i8zhNZsTtcoWgQEAd,2004,Since_U_Been_Gone_by_Kelly_Clarkson,"a filk artist, american idol, dance-pop, electropop, fixme label mess, music for soccer moms, pop, pop and chart, pop rock, rock, teen pop"
2004-12-25,Rich Girl,Gwen Stefani Featuring Eve,7,27,"['2008 universal fire victim', 'american', 'contemporary r&b', 'dance-pop', 'electropop', 'new wave', 'no doubt', 'pop', 'pop and chart', 'pop rap', 'pop rock', 'rnb', 'rock', 'ska punk', 'united states']",Rich Girl,spotify:track:2SRoLmIazPp7jLaHFA6Wy5,2004,Rich_Girl_by_Gwen_Stefani_Featuring_Eve,"2008 universal fire victim, american, contemporary r&b, dance-pop, electropop, new wave, no doubt, pop, pop and chart, pop rap, pop rock, rnb, rock, ska punk, united states"
2004-12-25,Some Cut,Trillville Featuring Cutty,14,25,Unknown,Some Cut,spotify:track:71mDjdeVK9sqXmamMHaAfX,2004,Some_Cut_by_Trillville_Featuring_Cutty,Unknown
2005-01-01,Mockingbird,Eminem,11,20,"['2008 universal fire victim', '8 mile', 'american', 'boom bap', 'comedy rap', 'detroit', 'detroit hip hop', 'detroit hip-hop', 'eminem', 'english', 'gangsta rap', 'hardcore hip hop', 'hip hop', 'hip-hop', 'hiphop', 'horrorcore', 'kun', 'midwest hip hop', 'midwest hip-hop', 'pop and chart', 'pop rap', 'rap', 'rapper', 'relic inn', 'turkish', 'us', 'v']",Mockingbird,spotify:track:561jH07mF1jHuk7KlaeF0s,2005,Mockingbird_by_Eminem,"2008 universal fire victim, 8 mile, american, boom bap, comedy rap, detroit, detroit hip hop, detroit hip-hop, eminem, english, gangsta rap, hardcore hip hop, hip hop, hip-hop, hiphop, horrorcore, kun, midwest hip hop, midwest hip-hop, pop and chart, pop rap, rap, rapper, relic inn, turkish, us, v"
2005-01-22,Get Right,Jennifer Lopez,12,17,"['contemporary r&b', 'dance', 'dance-pop', 'electro house', 'electronic', 'latin', 'latin pop', 'pop', 'pop and chart', 'pop rap', 'reggaeton']",Get Right,spotify:track:0rLzyBecRbTpnBWvMtPVFR,2005,Get_Right_by_Jennifer_Lopez,"contemporary r&b, dance, dance-pop, electro house, electronic, latin, latin pop, pop, pop and chart, pop rap, reggaeton"
2005-02-05,Candy Shop,50 Cent Featuring Olivia,1,23,"['2008 universal fire victim', 'criminal', 'east coast hip hop', 'english', 'gangsta rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'hip-hop/rap', 'pop rap', 'rap', 'relic inn']",Candy Shop,spotify:track:5D2mYZuzcgjpchVY1pmTPh,2005,Candy_Shop_by_50_Cent_Featuring_Olivia,"2008 universal fire victim, criminal, east coast hip hop, english, gangsta rap, gangster rap, hardcore hip hop, hip hop, hip hop rnb and dance hall, hip-hop, hip-hop/rap, pop rap, rap, relic inn"
2005-02-05,Let Me Go,3 Doors Down,14,31,"['acoustic rock', 'alternative metal', 'alternative rock', 'hard rock', 'pop rock', 'post-grunge', 'rock', 'southern rock']",Let Me Go,spotify:track:3AL354AEtM4Yybhkct22Z0,2005,Let_Me_Go_by_3_Doors_Down,"acoustic rock, alternative metal, alternative rock, hard rock, pop rock, post-grunge, rock, southern rock"
2005-02-12,Hate It Or Love It,The Game Featuring 50 Cent,2,23,"['2008 universal fire victim', 'criminal', 'east coast hip hop', 'english', 'gangsta rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'hip-hop/rap', 'pop rap', 'rap', 'relic inn']",Hate It Or Love It,spotify:track:2wGSgTmgSF3xjRrHkTc25R,2005,Hate_It_Or_Love_It_by_The_Game_Featuring_50_Cent,"2008 universal fire victim, criminal, east coast hip hop, english, gangsta rap, gangster rap, hardcore hip hop, hip hop, hip hop rnb and dance hall, hip-hop, hip-hop/rap, pop rap, rap, relic inn"
2005-02-12,You And Me,Lifehouse,5,62,"['2008 universal fire victim', 'alternative rock', 'pop rock', 'post-grunge', 'power pop', 'rock', 'soft rock']",You And Me,spotify:track:0815caqt2Lytro5EIzMufT,2005,You_And_Me_by_Lifehouse,"2008 universal fire victim, alternative rock, pop rock, post-grunge, power pop, rock, soft rock"
2005-02-12,1 Thing,Amerie,8,20,"['clean up', 'pop and chart', 'soul']",1 Thing,spotify:track:1mnqraQ8oV8MX92rdOFLWW,2005,1_Thing_by_Amerie,"clean up, pop and chart, soul"
2005-02-12,Scars,Papa Roach,15,38,"['alternative', 'alternative metal', 'alternative rock', 'hard rock', 'nu metal', 'pop and chart', 'pop rock', 'rap rock', 'rock']",Scars,spotify:track:1UREw2MCfU0xwBzCAjxlUD,2005,Scars_by_Papa_Roach,"alternative, alternative metal, alternative rock, hard rock, nu metal, pop and chart, pop rock, rap rock, rock"
2005-02-19,Lonely No More,Rob Thomas,6,34,"['alternative rock', 'pop', 'pop rock', 'power pop', 'rock']",Lonely No More,spotify:track:4faFAhOflLzhfJECveRwva,2005,Lonely_No_More_by_Rob_Thomas,"alternative rock, pop, pop rock, power pop, rock"
2005-02-26,Lonely,Akon,4,20,"['american', 'contemporary r&b', 'dance-pop', 'dangerous', 'electropop', 'hip hop', 'hip hop rnb and dance hall', 'pop', 'pop rap', 'r&b', 'senegalese-american']",Lonely,spotify:track:6zDWNTsGYqvhXsCD9ubCYc,2005,Lonely_by_Akon,"american, contemporary r&b, dance-pop, dangerous, electropop, hip hop, hip hop rnb and dance hall, pop, pop rap, r&b, senegalese-american"
2005-03-05,Switch,Will Smith,7,28,"['american', 'boom bap', 'comedy rap', 'contemporary r&b', 'east coast hip hop', 'east coast hip-hop', 'hip hop', 'hip-hop', 'hiphop', 'mainstream rap', 'pop and chart', 'pop rap', 'rap', 'urban', 'us']",Switch,spotify:track:2bmxx16hNi3W5FGzfFO9xX,2005,Switch_by_Will_Smith,"american, boom bap, comedy rap, contemporary r&b, east coast hip hop, east coast hip-hop, hip hop, hip-hop, hiphop, mainstream rap, pop and chart, pop rap, rap, urban, us"
2005-03-05,Slow Down,Bobby Valentino,8,22,Unknown,Unknown,Unknown,2005,Slow_Down_by_Bobby_Valentino,Unknown
2005-03-26,Just A Lil Bit,50 Cent,3,27,"['2008 universal fire victim', 'criminal', 'east coast hip hop', 'english', 'gangsta rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'hip-hop/rap', 'pop rap', 'rap', 'relic inn']",Just A Lil Bit,spotify:track:7dASROE42MjPEA5JqmgBZe,2005,Just_A_Lil_Bit_by_50_Cent,"2008 universal fire victim, criminal, east coast hip hop, english, gangsta rap, gangster rap, hardcore hip hop, hip hop, hip hop rnb and dance hall, hip-hop, hip-hop/rap, pop rap, rap, relic inn"
2005-03-26,Oh,Ciara Featuring Ludacris,2,23,"['american', 'dirty south', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'pop rap', 'rap', 'southern hip hop', 'trap rap']",Oh,spotify:track:7i7UIbm5E0DD7aSOYvwp2v,2005,Oh_by_Ciara_Featuring_Ludacris,"american, dirty south, hip hop, hip hop rnb and dance hall, hip-hop, pop rap, rap, southern hip hop, trap rap"
2005-04-02,Hollaback Girl,Gwen Stefani,1,31,"['2008 universal fire victim', 'american', 'contemporary r&b', 'dance-pop', 'electropop', 'new wave', 'no doubt', 'pop', 'pop and chart', 'pop rap', 'pop rock', 'rnb', 'rock', 'ska punk', 'united states']",Hollaback Girl,spotify:track:0LzrhCZFXW94Y8nwtTuRlw,2005,Hollaback_Girl_by_Gwen_Stefani,"2008 universal fire victim, american, contemporary r&b, dance-pop, electropop, new wave, no doubt, pop, pop and chart, pop rap, pop rock, rnb, rock, ska punk, united states"
2005-04-16,Beverly Hills,Weezer,10,43,"['2008 universal fire victim', 'alternative rock', 'american', 'américain', 'chamber pop', 'geek rock', 'irvine', 'nerd rock', 'pop rock', 'power pop', 'rock', 'rock and indie', 'rock opera', 'usa', 'weezer']",Beverly Hills,spotify:track:1yKu2MhpwzDXXH2tzG6xoa,2005,Beverly_Hills_by_Weezer,"2008 universal fire victim, alternative rock, american, américain, chamber pop, geek rock, irvine, nerd rock, pop rock, power pop, rock, rock and indie, rock opera, usa, weezer"
2005-04-16,We Belong Together,Mariah Carey,1,43,"['adult contemporary', 'american', 'christmas music', 'contemporary r&b', 'dance-pop', 'english', 'girl', 'pop', 'pop and chart', 'pop soul', 'r&b', 'rnb', 'soul', 'whistle register']",We Belong Together,spotify:track:3LmvfNUQtglbTrydsdIqFU,2005,We_Belong_Together_by_Mariah_Carey,"adult contemporary, american, christmas music, contemporary r&b, dance-pop, english, girl, pop, pop and chart, pop soul, r&b, rnb, soul, whistle register"
2005-04-16,Grind With Me,Pretty Ricky,7,22,"['hip hop', 'hip hop rnb and dance hall', 'rap']",Grind With Me,spotify:track:3B7i9OKRRmIsSBHEbJz58Y,2005,Grind_With_Me_by_Pretty_Ricky,"hip hop, hip hop rnb and dance hall, rap"
2005-04-23,Behind These Hazel Eyes,Kelly Clarkson,6,34,"['a filk artist', 'american idol', 'dance-pop', 'electropop', 'fixme label mess', 'music for soccer moms', 'pop', 'pop and chart', 'pop rock', 'rock', 'teen pop']",Behind These Hazel Eyes,spotify:track:0AKAxdNkwq9ZxRdW1DN9zW,2005,Behind_These_Hazel_Eyes_by_Kelly_Clarkson,"a filk artist, american idol, dance-pop, electropop, fixme label mess, music for soccer moms, pop, pop and chart, pop rock, rock, teen pop"
2005-04-23,Incomplete,Backstreet Boys,13,20,"['american', 'boy band', 'boy group', 'dance-pop', 'electropop', 'incomplete remix', 'pop', 'pop and chart', 'pop rock', 'teen pop']",Incomplete,spotify:track:0CnD7Hiw6pae6rLsZw5q5W,2005,Incomplete_by_Backstreet_Boys,"american, boy band, boy group, dance-pop, electropop, incomplete remix, pop, pop and chart, pop rock, teen pop"
2005-05-07,Speed Of Sound,Coldplay,8,20,"['alternative rock', 'ambient pop', 'britannique', 'british', 'britpop', 'chapel', 'english', 'parlophone', 'piano pop', 'piano rock', 'pop', 'pop rock', 'pop/rock', 'post-britpop', 'rock', 'rock and indie', 'uk']",Speed Of Sound,spotify:track:7clUVcSOtkNWa58Gw5RfD4,2005,Speed_Of_Sound_by_Coldplay,"alternative rock, ambient pop, britannique, british, britpop, chapel, english, parlophone, piano pop, piano rock, pop, pop rock, pop/rock, post-britpop, rock, rock and indie, uk"
2005-05-28,Let Me Hold You,Bow Wow Featuring Omarion,4,24,"['classic pop and rock', 'new wave', 'punk']",Let Me Hold You,spotify:track:1oNToERLIN71YCPLbRIQGQ,2005,Let_Me_Hold_You_by_Bow_Wow_Featuring_Omarion,"classic pop and rock, new wave, punk"
2005-05-28,Feel Good Inc,Gorillaz,14,45,"['alternative dance', 'alternative hip-hop', 'alternative rock', 'art pop', 'art rock', 'british', 'electronic', 'electronica', 'electropop', 'english', 'fictional', 'gorillaz', 'hip hop', 'hip-hop', 'leftfield', 'parlophone', 'pop rock', 'producer', 'producteur', 'rock', 'rock and indie', 'trip hop', 'trip rock', 'trip-hop', 'uk', 'uk garage', 'virtual artist', 'virtual band']",Feel Good Inc,spotify:track:0d28khcov6AiegSCpG5TuT,2005,Feel_Good_Inc_by_Gorillaz,"alternative dance, alternative hip-hop, alternative rock, art pop, art rock, british, electronic, electronica, electropop, english, fictional, gorillaz, hip hop, hip-hop, leftfield, parlophone, pop rock, producer, producteur, rock, rock and indie, trip hop, trip rock, trip-hop, uk, uk garage, virtual artist, virtual band"
2005-06-11,Pon de Replay,Rihanna,2,27,"['barbade', 'barbadian', 'barbadien', 'barbados', 'contemporary r b', 'contemporary r&b', 'dance', 'dance-pop', 'dancehall', 'electro house', 'electropop', 'hip hop', 'pop', 'pop and chart', 'pop soul', 'r&b', 'reggae', 'rehab', 'rihanna', 'rnb']",Pon de Replay,spotify:track:4TsmezEQVSZNNPv5RJ65Ov,2005,Pon_de_Replay_by_Rihanna,"barbade, barbadian, barbadien, barbados, contemporary r b, contemporary r&b, dance, dance-pop, dancehall, electro house, electropop, hip hop, pop, pop and chart, pop soul, r&b, reggae, rehab, rihanna, rnb"
2005-07-02,Inside Your Heaven,Carrie Underwood,1,12,"['american idol', 'contemporary country', 'country', 'country pop', 'country rock', 'pop', 'pop rock']",Inside Your Heaven,spotify:track:25ry9EyyRsp1dDctlAclin,2005,Inside_Your_Heaven_by_Carrie_Underwood,"american idol, contemporary country, country, country pop, country rock, pop, pop rock"
2005-07-09,Inside Your Heaven,Bo Bice,2,7,"['american idol', 'rock']",Inside Your Heaven,spotify:track:6SZBK8Z2Tdv7vgO3ZJnHTN,2005,Inside_Your_Heaven_by_Bo_Bice,"american idol, rock"
